country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Canada,16.6k,17.1k,17.7k,18.2k,18.9k,19.1k,19.7k,19.8k,20.5k,20.7k,21.1k,21.2k,21.9k,22.2k,22.1k,22.5k,22.3k,22.9k,23.8k,24.1k,24k,24.2k,24.8k,24.6k,25.4k,25.8k,26.8k,27.3k,28.1k,28.5k
Switzerland,5130,5090,5020,5040,4940,5090,4950,5150,5210,5280,5580,5520,5720,5820,5680,5690,5850,5850,5830,5930,6100,5930,6070,6000,5860,5790,6010,6090,6110,6130
Chile,1730,1730,1760,1860,1980,2080,2130,2180,2300,2400,2420,2630,2650,2840,2940,3020,3150,3300,3330,3660,3860,3980,4100,4290,4300,4570,4550,4690,4810,4910
China,81.1k,85k,87.9k,92.2k,96.5k,101k,108k,113k,121k,129k,137k,146k,153k,161k,173k,183k,192k,204k,217k,230k,246k,257k,264k,273k,290k,299k,307k,330k,352k,368k
Cote d'Ivoire,366,381,394,414,431,452,475,499,533,569,602,638,666,696,717,741,767,790,816,855,895,936,985,1040,1090,1120,1150,1190,1270,1310
Cameroon,548,569,593,617,641,664,690,731,775,811,846,877,914,962,1010,1060,1110,1150,1190,1250,1330,1430,1520,1610,1710,1790,1890,2000,2130,2240
"Congo, Dem. Rep.",2040,2130,2200,2240,2270,2350,2480,2450,2530,2620,2710,2800,2870,3010,3100,3180,3260,3340,3470,3600,3760,3980,4220,4480,4750,5010,5310,5670,6080,6410
"Congo, Rep.",196,199,202,211,231,243,261,272,267,275,275,272,278,297,316,337,353,369,386,400,420,438,464,489,514,535,557,587,622,651
Cook Is,5.19,5.24,5.29,5.31,5.36,5.45,5.57,5.68,5.8,5.95,6.12,6.1,6.09,6.27,6.43,6.65,6.92,7.23,7.53,7.87,8.23,8.49,8.81,9.21,9.34,9.62,9.82,10.1,10.4,10.7
Colombia,3000,3140,3290,3560,3840,3970,4160,4260,4460,4720,4920,5130,5460,5780,5910,6020,6370,6630,7080,7570,8080,8230,8680,9000,9610,9980,10.3k,10.6k,10.9k,11.1k
Comoros,20.6,21.3,23.1,24.6,26.3,27.9,29.1,30.1,30.6,31.8,34.1,35.6,36.9,37.8,37.1,39.8,38.9,43.7,46.3,45.6,46.5,49.6,52.6,55.3,63.1,65.5,68.3,71.2,72,73.9
Cape Verde,23.9,24.9,25.3,25.4,25.5,25.5,25.6,25.6,25.8,26.6,27.7,28.9,30.2,31.4,32.7,34,35.6,37.4,39.3,41.3,43.7,47,47.2,49.9,53,56.4,60.7,63.3,66.2,69
Costa Rica,376,400,411,426,469,510,517,535,582,615,622,675,687,751,796,825,920,838,916,999,1140,1130,1180,1240,1240,1290,1380,1440,1460,1500
Cuba,2590,2680,2830,2920,2940,3000,3040,3020,3130,3210,3270,3450,3410,3660,3790,4010,4010,4210,4440,4520,4650,4560,4780,4920,5000,5220,5240,5450,5580,5540
Cyprus,261,257,275,303,338,360,362,375,392,411,421,438,473,521,563,604,639,683,739,772,794,806,813,840,880,908,913,932,953,975
Czech Republic,4400,4570,4610,4780,4990,5370,5160,5380,5290,5350,5470,5440,5580,5970,5850,6120,6070,6080,6200,6100,6040,5970,5880,5790,5570,5620,5710,5610,5690,5700
Germany,46.4k,48.2k,49.3k,52.1k,53.7k,55.3k,56.6k,57k,57.6k,58.9k,59.4k,59.6k,61.2k,62.7k,63k,63.8k,64.1k,65.4k,67.3k,68.5k,68.6k,68.8k,67.8k,69.6k,67.8k,70k,70.2k,69.8k,69.8k,69.7k
Djibouti,14.6,14.9,15.6,16.7,16.9,18.4,19.6,20.5,22.3,23.5,24.5,25.7,27.7,29.1,32.8,35.5,37.3,40,42.9,45.3,49.3,52.9,56.8,60.9,63.3,68.4,73,79.7,87.4,93.7
Dominica,20.3,20.3,19.5,19.8,20.6,21.2,21.6,21.5,21.6,22.4,22.7,23.3,23.9,24.1,23.7,24,24.6,24.6,24.7,25,25.6,26.4,26.9,27.2,27.1,26.9,27,27.2,27.5,27.8
Denmark,3620,3590,3710,3800,3790,3870,3810,3910,3780,4110,3920,4060,4210,4210,4250,4250,4380,4590,4680,4770,4760,4570,4500,4360,4250,4230,4280,4280,4280,4270
Dominican Republic,392,417,443,495,524,558,603,643,681,710,745,809,881,951,1040,1160,1280,1330,1360,1390,1430,1470,1550,1640,1690,1740,1780,1790,1810,1830
Algeria,1530,1620,1720,1820,1940,2070,2160,2240,2300,2410,2530,2670,2820,2970,3170,3420,3620,3790,3970,4160,4330,4530,4730,4910,5130,5340,5560,5840,6260,6620
Ecuador,463,507,549,573,611,639,687,719,786,811,839,833,1040,1160,1210,1300,1390,1480,1560,1610,1670,1710,1940,2020,2050,2090,2240,2350,2440,2540
Egypt,2510,2620,2800,3110,3360,3520,3870,4220,4470,4860,5210,5850,6210,6560,6960,7290,7550,7440,7670,8150,8470,8390,8600,7950,8220,9010,9480,9820,10.2k,10.6k
