country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Pakistan,12.3k,13k,13.8k,14.4k,15.3k,16.5k,17.4k,18.3k,19k,20k,21.3k,22.5k,23.5k,24.3k,25.2k,26.2k,27.2k,28.3k,29.6k,30.9k,32.5k,33.7k,35.2k,37.7k,39.8k,41.5k,43.7k,45.8k,48.1k,50.3k
Panama,233,238,265,271,279,296,318,352,369,356,369,377,389,408,425,441,465,487,523,562,584,623,657,723,754,782,824,856,892,916
Peru,1380,1410,1580,1640,1790,1920,1860,1990,2130,2190,2330,2340,2470,2650,2600,2680,2650,2560,2750,3190,3360,3470,3570,3690,3800,3940,4150,4360,4550,4740
Philippines,6370,6590,6980,7360,7680,8070,8530,8810,9020,8850,9050,9320,9580,9680,9900,10.2k,10.2k,10.5k,11.3k,11.7k,12.4k,13.1k,14.2k,15.2k,15.8k,16.5k,17k,17.7k,18.4k,19k
Palau,3.06,3.27,3.49,3.71,3.95,4.21,4.4,4.57,4.74,4.93,5.07,5.22,5.37,5.5,5.82,6.12,6.26,6.38,6.47,6.54,6.6,6.68,6.78,6.94,7.12,7.33,7.55,7.81,8.07,8.31
Papua New Guinea,583,605,630,649,668,693,728,758,796,835,861,896,937,978,1020,1080,1130,1180,1220,1270,1360,1440,1500,1550,1620,1710,1780,1870,1980,2070
Poland,9600,10.2k,10.4k,10.4k,10.8k,11.3k,11.6k,12.3k,12.7k,13.4k,13.6k,13.8k,13.9k,14.2k,14.6k,15.1k,15.6k,16k,16.4k,16.9k,16.7k,17.2k,17.8k,18k,18.1k,18.6k,18.5k,18.5k,18.5k,18.5k
Puerto Rico,1010,1060,1100,1160,1180,1260,1310,1250,1380,1380,1430,1510,1540,1650,1720,1700,1720,1790,1890,1970,1930,2080,1960,2070,2080,1970,2130,2150,2180,2190
North Korea,2170,2250,2330,2400,2470,2550,2620,2650,2660,2690,2750,2820,2890,2950,3040,3150,3300,3450,3620,3770,3920,4030,4130,4200,4250,4290,4370,4460,4570,4660
Portugal,4380,4640,4760,5100,4960,5150,5330,5640,5660,5770,5910,6160,6310,6570,6490,6730,6700,6900,7000,7190,7120,7070,7030,6990,7030,7090,7250,7340,7390,7440
Paraguay,285,297,328,353,374,404,436,453,478,511,548,566,604,651,695,720,762,762,799,843,875,899,917,992,1010,1060,1160,1220,1290,1340
Palestine,176,181,185,190,198,208,219,229,235,240,253,266,276,285,300,320,342,358,375,402,442,493,525,559,598,641,684,738,789,840
French Polynesia,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,
Qatar,29.8,33.4,35.6,36.5,40.3,45.8,47.6,49.1,51.3,53,57,63.9,71.2,78,87.1,99.1,119,140,155,167,179,199,222,241,261,284,308,330,356,382
Romania,4950,5040,5250,5410,5570,5850,6190,6280,6350,6350,6410,6720,6990,7080,6970,7160,7090,7060,7240,7560,7650,7460,7720,7760,8190,8320,8460,8620,8580,8590
Russia,36.9k,37.9k,40.4k,46.6k,49.6k,47.5k,45.3k,43.7k,43.7k,47.8k,49.7k,51k,53k,55.5k,55.9k,59.9k,57k,56.5k,59.7k,60.3k,63k,60.7k,61.2k,62.8k,66.4k,67.8k,68.1k,66.1k,66.7k,67.7k
Rwanda,453,477,439,367,358,395,447,475,482,480,469,460,467,481,497,509,522,543,567,591,625,661,703,742,784,830,879,931,998,1060
Saudi Arabia,464,530,583,633,700,779,866,938,991,1050,1140,1230,1340,1430,1510,1660,1830,2020,2200,2360,2580,2790,3030,3300,3610,3890,4240,4580,4960,5330
Serbia and Montenegro,,,,,,,,,,,,,4340,,,,,,,,,,,,,,,,,
Sudan,730,753,786,813,844,874,906,940,969,993,1030,1070,1110,1150,1190,1240,1300,1360,1430,1500,1600,1700,1810,1930,2040,2160,2310,2480,2670,2850
Senegal,372,390,401,413,433,440,449,460,484,510,510,637,661,651,691,711,719,749,782,836,806,858,884,942,1010,1060,1130,1170,1210,1270
Singapore,636,647,700,767,809,874,913,1000,1050,1100,1120,1240,1290,1300,1430,1430,1560,1610,1780,1860,1970,2060,2240,2200,2250,2320,2350,2390,2440,2520
Solomon Islands,17.4,18.4,19.4,20.4,21.5,22.7,24.1,25.6,27.2,28.7,36.6,49.4,59.2,67.6,74.8,81.7,88.5,94.2,95.5,104,110,120,129,136,144,150,146,206,288,280
Sierra Leone,147,147,149,151,153,158,164,170,176,183,191,201,214,230,246,261,271,284,290,303,320,335,353,371,393,406,427,452,479,499
El Salvador,234,241,263,282,306,301,334,368,400,423,440,478,492,512,545,570,597,626,633,685,692,740,738,798,846,873,899,934,977,1010
San Marino,10.1,10.3,10.6,10.8,11.2,11.4,11.6,12,12.4,12.8,13.2,13.8,14.5,15.5,16.4,17.2,17.6,18,18.5,19,19.5,19.9,20.5,21.1,21.7,22.3,22.8,23.1,23.3,23.5
Somalia,233,235,240,243,248,256,266,278,291,302,310,320,334,350,365,377,384,403,420,437,452,467,485,506,529,554,578,603,629,651
Serbia,3220,3360,3550,3740,3930,4130,4390,4690,4350,4550,4620,4630,4570,4750,4890,5150,5180,5240,5490,5670,5700,5690,5830,5780,5950,6090,6050,6060,6110,6150
South Sudan,171,172,173,172,173,176,177,172,175,178,181,179,181,190,199,205,215,223,230,239,249,260,271,280,289,295,302,315,333,349
Sao Tome and Principe,5.34,5.56,5.8,6.12,6.37,6.6,6.98,7.4,7.87,8.26,8.53,8.82,9.17,9.24,9.75,9.44,10.3,10.9,10.9,11.6,12.6,12.8,13.3,14.3,15.7,16.5,17.4,18.4,19.5,20.5
Suriname,39.9,42.4,45,47.5,47.1,43.8,43.4,44,46.5,51.6,53.5,56.9,63,65.1,67.3,67.8,69.7,72.5,76.3,80.2,83.2,86.3,90.1,95.8,101,109,115,120,125,129
Slovak Republic,1450,1520,1530,1600,1660,1760,1770,1930,1950,2010,1970,2030,1970,1960,1980,2030,2090,2260,2300,2480,2470,2600,2660,2730,2730,2820,2790,2820,2850,2870
Slovenia,862,879,895,912,924,941,980,1010,1060,1120,1100,1150,1140,1140,1220,1180,1120,1170,1180,1200,1210,1220,1240,1220,1160,1220,1190,1200,1210,1220
Sweden,5110,5280,5410,5550,5520,5730,5880,5850,6080,6230,6460,6490,6630,6750,7070,6980,6980,6950,7120,7200,7020,7260,7460,7590,7580,7340,7400,7320,7370,7280
Eswatini,37.9,40.3,41.9,43,44.5,47.4,48.9,49.6,52.2,56.7,64.9,70.8,78,81.3,85.4,89.7,90.6,91.1,91.3,92.6,92.5,92.5,94.7,97.4,101,103,105,108,112,116
Seychelles,7.44,7.81,8.29,8.82,9.4,10.1,11.1,12.1,12.9,13.6,14.3,15.2,16.3,17.4,18.3,19.6,20.9,21.9,22.7,23.6,24.3,25,25.8,26.9,27.9,28.7,29.5,30.5,31.7,32.7
Syria,422,452,500,507,535,573,616,658,715,747,763,762,777,785,834,888,951,1010,1120,1240,1440,1530,1580,1610,1630,1650,1690,1750,1820,1870
Chad,202,205,213,221,223,227,238,246,254,261,266,275,284,297,305,314,323,336,349,361,378,395,412,428,445,461,482,505,529,550
Togo,151,158,163,168,173,179,186,196,203,209,217,225,236,248,257,267,277,294,312,332,351,371,391,409,434,458,494,532,563,593
Thailand,4330,4660,4920,5180,5430,5800,6410,6470,7030,8170,9020,9520,10.8k,11.7k,12.7k,13.7k,13.9k,14.3k,14.4k,14.4k,14.6k,14.6k,14.7k,14.6k,14.9k,15.1k,15.7k,16.3k,17k,17.7k
Tajikistan,388,399,419,424,440,417,388,381,388,397,406,414,417,427,463,491,495,519,543,560,593,635,656,662,680,706,738,782,820,859
Tokelau,0.26,0.26,0.27,0.27,0.26,0.27,0.27,0.28,0.29,0.3,0.31,0.32,0.32,0.32,0.31,0.3,0.31,0.31,0.32,0.32,0.33,0.33,0.34,0.34,0.35,0.36,0.38,0.39,0.41,0.42
Turkmenistan,272,258,262,284,319,337,344,331,312,279,277,279,295,303,333,379,417,435,458,455,481,547,601,635,672,688,685,691,700,707
Timor-Leste,30.4,30.7,32,33.3,33.7,34.7,34.9,34.9,37.2,37.8,38.4,39.5,40.7,42.7,43.8,46.6,48.8,52.7,55.2,60.1,63,70.6,76.9,82.2,87.3,91.7,95.9,99.8,104,107
Tonga,13.7,13.9,14.3,14.8,15.1,15.6,16,16.5,17.3,17.8,18.1,18,17.9,18,18,18.2,18.4,18.8,19.1,19.4,19.9,20.7,21.3,21.5,21.8,22.1,22.5,23.1,23.7,24.2
Trinidad and Tobago,241,247,248,278,295,308,309,307,322,317,315,321,325,353,384,378,396,422,445,453,457,466,463,473,483,493,505,515,527,537
Tunisia,680,735,786,833,870,958,1020,1100,1170,1240,1310,1390,1460,1530,1590,1680,1760,1840,1920,2000,2090,2190,2290,2390,2510,2630,2750,2870,3010,3130
Turkey,4050,4290,4480,4670,4850,5030,5180,5350,5550,5740,5790,6000,6210,6910,7560,8300,8980,9690,10.5k,11.5k,12.1k,12.6k,13k,13.6k,14.2k,14.6k,15.2k,15.9k,16.5k,17.1k
Tuvalu,1.63,1.69,1.74,1.81,1.85,1.92,1.97,2.03,2.06,2.12,2.19,2.24,2.28,2.32,2.35,2.39,2.44,2.49,2.55,2.59,2.64,2.69,2.73,2.77,2.8,2.85,2.9,2.97,3.05,3.11
Taiwan,1970,2140,2330,2600,2800,3100,3440,3660,3970,4210,4570,4900,5080,5560,5980,6480,6680,7140,7400,7740,8090,8480,8810,8840,9260,8980,9210,9150,9240,9290
Tanzania,942,960,983,1010,1040,1060,1110,1180,1240,1330,1390,1390,1440,1520,1600,1650,1740,1830,1920,2020,2120,2250,2390,2520,2620,2710,2860,3060,3270,3450
Uganda,654,702,726,770,823,882,942,1000,1080,1150,1230,1290,1330,1380,1440,1500,1540,1570,1570,1620,1690,1770,1900,2070,2210,2310,2450,2570,2780,2940
Ukraine,18.3k,19.2k,19.7k,20.4k,20.8k,21.8k,21.2k,20.5k,19.5k,20.1k,20.2k,19.5k,19.3k,18.8k,18.6k,17.7k,16.7k,17.2k,17.6k,16.5k,16.1k,15.7k,16.1k,16.2k,15.3k,17.8k,17.4k,17.3k,17.6k,17.7k
Uruguay,1410,1510,1440,1480,1500,1510,1510,1550,1640,1620,1660,1640,1690,1710,1750,1770,1720,1810,1770,1750,1780,1820,1820,1810,1810,1870,1860,1900,1910,1940
USA,189k,193k,196k,205k,210k,214k,213k,214k,213k,216k,219k,222k,222k,223k,219k,220k,220k,219k,223k,228k,227k,231k,232k,232k,235k,237k,243k,243k,246k,252k
Uzbekistan,1650,1750,1880,2060,2230,2330,2440,2470,2550,2630,2780,2860,2950,3020,3020,3200,3280,3400,3440,3480,3630,3850,4100,4310,4490,4710,4950,5110,5300,5460
St. Vincent and the Grenadines,21.4,22.4,23.5,24.1,24.7,24.6,25.1,24.4,24.3,24.9,25.4,25.9,26.3,26.7,27.2,27.8,28.6,29.5,31.5,32.8,34.1,36.2,38.4,39.7,40.5,41,41.7,42.5,43.6,44.5
Venezuela,1660,1810,2020,2060,2290,2460,2610,2750,2890,3030,3140,3480,3950,4010,3950,4210,4540,4820,5220,5430,5720,6100,6450,6680,7440,7620,7920,7970,8040,8430
Virgin Islands (U.S.),32.7,33.9,35,36.6,38.9,40.5,42.2,43.3,44.4,45.8,47.3,49.1,51,52.8,55,56.8,58,59.2,60.4,61.9,63.5,65.1,66.6,67,67,67.3,66.8,67,67.8,68.4
Vietnam,6090,6190,6320,6470,6670,6930,7200,7530,7910,8350,8830,9480,10.2k,11k,11.9k,12.8k,13.7k,14.5k,15.4k,16.3k,17k,17.8k,18.8k,19.8k,20.9k,22.1k,23.4k,24.7k,26.1k,27.4k
Vanuatu,7.66,8.52,9.32,9.99,11,11.2,12,12.6,13.3,14.1,14.3,15.3,14.8,14.8,15.6,17.2,18.6,20.4,22,23.3,24.7,26.5,27.8,29.1,30.2,31.4,32.5,33.7,35.1,36.4
Samoa,14.7,15.5,16.1,16.4,16.9,17.6,18.2,18.9,19.7,20.7,21.4,22,22.6,23.3,24,24.7,25.4,26.3,27.1,27.9,28.2,29,29.4,29,29.3,30.4,31.4,32.6,33.9,34.9
Yemen,378,388,402,415,430,453,476,499,520,551,586,623,672,708,751,809,874,940,1020,1070,1110,1210,1290,1380,1460,1570,1670,1790,1910,2000
South Africa,3440,3560,4000,3860,4200,4020,4190,4920,4970,5010,5360,5350,5500,5700,5830,5950,6280,6390,6720,7020,7310,7470,7680,7960,8400,8620,8640,8650,8460,8540
Zambia,359,375,387,395,410,425,438,448,455,462,464,466,474,488,505,527,560,585,613,652,701,742,780,820,860,901,946,1030,1100,1170
Zimbabwe,583,611,624,616,621,611,613,626,688,765,863,924,997,1050,1110,1120,1160,1190,1280,1330,1320,1300,1320,1370,1440,1510,1570,1630,1680,1740
